/fraternal/reception.php	/fraternal/reception.php	http://www.aladdinshrine.org/fraternal/units.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E)	dbes1bcx04.chase.com	1310752255	-	-	GET	-	en-us
/fraternal/ashac.php	/fraternal/ashac.php	#	Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)	119.63.196.105	1310752435	-	-	GET	-	tr-TR
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; GTB7.1; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)	adsl-99-40-88-170.dsl.wotnoh.sbcglobal.net	1310752597	-	-	GET	-	en-US
/fraternal/steelDrum.php	/fraternal/steelDrum.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310752910	-	-	GET	-	N/D
/fraternal/lamp.php	/fraternal/lamp.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310753176	-	-	GET	-	N/D
/fraternal/divan.php	/fraternal/divan.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310753180	-	-	GET	-	N/D
/fraternal/circus.php	/fraternal/circus.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310753199	-	-	GET	-	N/D
/fraternal/sitemap.php	/fraternal/sitemap.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310753202	-	-	GET	-	N/D
/fraternal/provost.php	/fraternal/provost.php	#	Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)	119.63.196.51	1310753415	-	-	GET	-	tr-TR
/fraternal/home.php	/fraternal/home.php	http://aladdinshrine.org/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6.6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; WinNT-PAI 18.08.2009; .NET CLR 3.0.30729; .NET4.0C)	173-23-197-26.client.mchsi.com	1310754529	-	-	GET	-	en-us
/fraternal/calendar.php	/fraternal/calendar.php	http://aladdinshrine.org/fraternal/home.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6.6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; WinNT-PAI 18.08.2009; .NET CLR 3.0.30729; .NET4.0C)	173-23-197-26.client.mchsi.com	1310754533	-	-	GET	-	en-us
