/home.php	/home.php	http://www.google.com/search?hl=en&amp;source=hp&amp;q=Aladdin+Shrine+Center&amp;gbv=2&amp;oq=Aladdin+Shrine+Center&amp;aq=f&amp;aqi=&amp;aql=&amp;gs_l=hp.3...0.0.1.140.0.0.0.0.0.0.0.0..0.0...0.0.Jmg8kkkMxgs	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E; MS-RTC LM 8)	152-130-8-65.tic.va.gov	1340365867	-	-	GET	-	en-us
/aladdinmpr.php	/aladdinmpr.php	#	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	msnbot-157-55-17-199.search.msn.com	1340366938	-	-	GET	-	N/D
/home.php	/home.php	#	Java/1.6.0_04	89.123.58.235	1340367736	-	-	GET	-	N/D
/AladdinBar.php	/AladdinBar.php	#	Java/1.6.0_04	89.123.58.235	1340367759	-	-	GET	-	N/D
/AladdinCalendar.php	/AladdinCalendar.php	#	Java/1.6.0_04	89.123.58.235	1340367759	-	-	GET	-	N/D
/AladdinContact.php	/AladdinContact.php	#	Java/1.6.0_04	89.123.58.235	1340367760	-	-	GET	-	N/D
/AladdinDirections.php	/AladdinDirections.php	#	Java/1.6.0_04	89.123.58.235	1340367760	-	-	GET	-	N/D
/AladdinHotels.php	/AladdinHotels.php	#	Java/1.6.0_04	89.123.58.235	1340367761	-	-	GET	-	N/D
/AladdinPolicies.php	/AladdinPolicies.php	#	Java/1.6.0_04	89.123.58.235	1340367761	-	-	GET	-	N/D
/AladdinRooms.php	/AladdinRooms.php	#	Java/1.6.0_04	89.123.58.235	1340367762	-	-	GET	-	N/D
/aladdinaladdin.php	/aladdinaladdin.php	#	Java/1.6.0_04	89.123.58.235	1340367762	-	-	GET	-	N/D
/aladdinballroom.php	/aladdinballroom.php	#	Java/1.6.0_04	89.123.58.235	1340367762	-	-	GET	-	N/D
/aladdinboardroom.php	/aladdinboardroom.php	#	Java/1.6.0_04	89.123.58.235	1340367763	-	-	GET	-	N/D
/aladdinmpr.php	/aladdinmpr.php	#	Java/1.6.0_04	89.123.58.235	1340367763	-	-	GET	-	N/D
/aladdinoasis.php	/aladdinoasis.php	#	Java/1.6.0_04	89.123.58.235	1340367764	-	-	GET	-	N/D
/home.php	/home.php	http://www.aladdinshrine.org/	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340371659	-	-	GET	-	en-US
/AladdinBar.php	/AladdinBar.php	http://www.aladdinshrine.org/AladdinBar.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340371671	-	-	GET	-	en-US
